,Name
0,Jiayuan-Shanghai Jince Medical Laboratory Co.LTD-0
1,Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-0
2,Jiayuan-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
3,Sihe Garden (Lane 1940)-Shanghai Jince Medical Laboratory Co.LTD-0
4,Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-0
5,Sihe Garden (Lane 1940)-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
6,Sanhe Garden-Shanghai Jince Medical Laboratory Co.LTD-0
7,Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-0
8,Sanhe Garden-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
9,Great Wall Unit-Shanghai Jince Medical Laboratory Co.LTD-0
10,Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-0
11,Great Wall Unit-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
12,Changde Apartment-Shanghai Jince Medical Laboratory Co.LTD-0
13,Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-0
14,Changde Apartment-Shanghai Nucleus Gene Huaxi Medical Laboratory-1
